employee_id,age,revenu_mensuel,statut_marital,departement,poste,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,nombre_participation_pee,frequence_deplacement,annes_sous_responsable_actuel
1,41,5993,Célibataire,Commercial,Cadre Commercial,8,6,4,2,3,4,1,1,3,Oui,11.0,0,Occasionnel,5
2,49,5130,Marié(e),Consulting,Assistant de Direction,10,10,7,3,2,2,4,3,4,Non,23.0,1,Frequent,7
4,37,2090,Célibataire,Consulting,Consultant,7,0,0,4,2,3,2,3,3,Oui,15.0,0,Occasionnel,0
5,33,2909,Marié(e),Consulting,Assistant de Direction,8,8,7,4,3,3,3,3,3,Oui,11.0,0,Frequent,0
7,27,3468,Marié(e),Consulting,Consultant,6,2,2,1,3,2,4,3,3,Non,12.0,1,Occasionnel,2
8,32,3068,Célibataire,Consulting,Consultant,8,7,7,4,3,4,3,2,3,Non,13.0,0,Frequent,6
10,59,2670,Marié(e),Consulting,Consultant,12,1,0,3,4,1,1,2,4,Oui,20.0,3,Occasionnel,0
11,30,2693,Divorcé(e),Consulting,Consultant,1,1,0,4,3,3,2,3,4,Non,22.0,1,Occasionnel,0
12,38,9526,Célibataire,Consulting,Tech Lead,10,9,7,4,2,3,2,3,4,Non,21.0,0,Frequent,8
13,36,5237,Marié(e),Consulting,Manager,17,7,7,3,3,3,2,2,3,Non,13.0,2,Occasionnel,7
14,35,2426,Marié(e),Consulting,Consultant,6,5,4,1,4,2,3,3,3,Non,13.0,1,Occasionnel,3
15,29,4193,Célibataire,Consulting,Consultant,10,9,5,4,2,3,4,3,3,Oui,12.0,0,Occasionnel,8
16,31,2911,Divorcé(e),Consulting,Assistant de Direction,5,5,2,1,3,3,4,2,3,Non,17.0,1,Occasionnel,3
18,34,2661,Divorcé(e),Consulting,Consultant,3,2,2,2,3,4,3,3,3,Non,11.0,1,Occasionnel,2
19,28,2028,Célibataire,Consulting,Consultant,6,4,2,3,2,3,2,3,3,Oui,14.0,0,Occasionnel,3
20,29,9980,Divorcé(e),Consulting,Tech Lead,10,10,9,2,4,1,3,3,3,Non,11.0,1,Occasionnel,8
21,32,3298,Divorcé(e),Consulting,Assistant de Direction,7,6,2,1,4,2,4,2,3,Oui,12.0,2,Occasionnel,5
22,22,2935,Divorcé(e),Consulting,Consultant,1,1,0,4,4,4,2,2,3,Oui,13.0,2,Aucun,0
23,53,15427,Marié(e),Commercial,Senior Manager,31,25,8,1,2,4,3,3,3,Non,16.0,0,Occasionnel,7
24,38,3944,Célibataire,Consulting,Assistant de Direction,6,3,2,4,3,4,3,3,3,Oui,11.0,0,Occasionnel,2
26,24,4011,Divorcé(e),Consulting,Tech Lead,5,4,2,1,4,3,4,2,3,Non,18.0,1,Aucun,3
27,36,3407,Célibataire,Commercial,Représentant Commercial,10,5,3,3,2,1,2,3,4,Non,23.0,0,Occasionnel,3
28,34,11994,Célibataire,Consulting,Directeur Technique,13,12,6,1,3,2,3,3,3,Non,11.0,0,Occasionnel,11
30,21,1232,Célibataire,Consulting,Assistant de Direction,0,0,0,3,3,4,4,3,3,Non,14.0,0,Occasionnel,0
31,34,2960,Célibataire,Consulting,Assistant de Direction,8,4,2,2,3,1,3,3,3,Non,11.0,0,Occasionnel,3
32,53,19094,Divorcé(e),Consulting,Senior Manager,26,14,13,3,3,3,4,2,3,Non,11.0,1,Occasionnel,8
33,32,3919,Célibataire,Consulting,Assistant de Direction,10,10,2,2,1,1,2,3,4,Oui,22.0,0,Frequent,7
35,42,6825,Marié(e),Commercial,Cadre Commercial,10,9,7,3,3,2,4,3,3,Non,11.0,1,Occasionnel,2
36,44,10248,Marié(e),Consulting,Manager,24,22,6,1,2,4,4,3,3,Non,14.0,1,Occasionnel,17
38,46,18947,Célibataire,Commercial,Senior Manager,22,2,2,2,3,1,4,2,3,Non,12.0,0,Occasionnel,1
39,33,2496,Célibataire,Consulting,Consultant,7,1,1,3,3,4,4,3,3,Non,11.0,0,Occasionnel,0
40,44,6465,Marié(e),Consulting,Manager,9,4,2,4,3,4,4,4,3,Oui,13.0,0,Occasionnel,3
41,30,2206,Célibataire,Consulting,Consultant,10,10,0,4,2,3,1,3,3,Non,13.0,0,Occasionnel,8
42,39,2086,Marié(e),Commercial,Représentant Commercial,19,1,0,4,3,4,3,4,3,Non,14.0,1,Occasionnel,0
45,24,2293,Marié(e),Consulting,Assistant de Direction,6,2,0,2,3,4,1,2,3,Oui,16.0,1,Occasionnel,0
46,43,2645,Divorcé(e),Consulting,Assistant de Direction,6,5,3,4,4,3,4,2,3,Non,12.0,2,Occasionnel,4
47,50,2683,Marié(e),Commercial,Représentant Commercial,3,3,2,1,2,3,3,3,3,Oui,14.0,0,Occasionnel,2
49,35,2014,Marié(e),Commercial,Représentant Commercial,2,2,2,4,3,4,1,3,3,Non,13.0,0,Occasionnel,2
51,36,3419,Marié(e),Consulting,Assistant de Direction,6,1,1,2,2,1,4,4,3,Oui,14.0,1,Occasionnel,0
52,33,5376,Marié(e),Commercial,Cadre Commercial,10,5,3,3,4,1,1,3,3,Non,19.0,2,Frequent,3
53,35,1951,Divorcé(e),Consulting,Consultant,1,1,0,3,3,4,3,3,3,Non,12.0,1,Occasionnel,0
54,27,2341,Divorcé(e),Consulting,Consultant,1,1,0,4,3,1,4,3,3,Non,13.0,1,Occasionnel,0
55,26,2293,Célibataire,Consulting,Consultant,1,1,0,1,1,3,3,2,3,Non,12.0,0,Occasionnel,1
56,27,8726,Célibataire,Commercial,Cadre Commercial,9,9,8,4,3,3,4,3,3,Non,15.0,0,Frequent,7
57,30,4011,Célibataire,Consulting,Consultant,12,12,8,3,3,4,4,3,4,Non,23.0,0,Frequent,7
58,41,19545,Marié(e),Consulting,Directeur Technique,23,22,15,2,3,3,4,3,3,Non,12.0,0,Occasionnel,8
60,34,4568,Célibataire,Commercial,Cadre Commercial,10,9,5,2,3,3,3,3,4,Non,20.0,0,Aucun,7
61,37,3022,Marié(e),Consulting,Assistant de Direction,8,1,0,2,3,2,1,3,4,Non,21.0,0,Occasionnel,0
62,46,5772,Célibataire,Commercial,Cadre Commercial,14,9,6,1,3,4,3,3,4,Oui,21.0,0,Frequent,8
63,35,2269,Marié(e),Consulting,Consultant,1,1,0,4,4,4,4,3,3,Non,19.0,0,Occasionnel,1
64,48,5381,Célibataire,Consulting,Consultant,23,1,0,1,2,3,4,3,3,Oui,13.0,0,Occasionnel,0
65,28,3441,Célibataire,Consulting,Consultant,2,2,2,3,3,3,3,2,3,Oui,13.0,0,Occasionnel,2
68,44,5454,Divorcé(e),Commercial,Cadre Commercial,9,4,3,2,3,1,3,2,4,Oui,21.0,1,Occasionnel,3
70,35,9884,Marié(e),Consulting,Manager,10,4,0,3,2,1,3,3,3,Oui,13.0,1,Aucun,3
